order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,order_date,region,payment_method,status,discount_pct
4c3fd1de-d34a-46d2-a515-52def7cd7941,CUST9774,P001,Laptop,Electronics,1,106992.75,106992.75,2024-09-27 00:00:00,South,Debit Card,Cancelled,0.062
666484d7-2065-4dc7-867a-00474ac40f8a,CUST3514,P007,Backpack,Accessories,1,1684.29,1684.29,2024-01-27 00:00:00,South,Debit Card,Returned,0.175
6132f5cd-69c7-4623-a561-4efdfa0e3217,CUST6715,P006,Novel,Books,3,726.42,2179.26,2024-09-27 00:00:00,North,COD,Shipped,0.121
a2c18fa4-6650-44da-833d-6e0c952ab063,CUST5279,P004,Running Shoes,Footwear,5,6994.36,34971.8,2024-03-05 00:00:00,East,Net Banking,Processing,0.099
6c49ed47-95e0-4a23-a94a-e8a382eff9f0,CUST6539,P006,Novel,Books,3,388.97,1166.91,2024-06-17 00:00:00,North,COD,Processing,0.13
eb770525-380c-4a7d-bfd5-52e5d97403e7,CUST3110,P003,T-Shirt,Apparel,2,765.3,1530.6,2024-09-04 00:00:00,West,Debit Card,Completed,0.022
74961e6c-e501-4c8d-b9ca-c410dd424488,CUST7167,P007,Backpack,Accessories,2,902.54,1805.08,2024-04-12 00:00:00,West,Net Banking,Cancelled,0.112
a8c85689-516e-4ad0-a3c4-59de86fc0501,CUST3049,P005,Coffee Maker,Appliances,5,1495.61,7478.05,2024-12-01 00:00:00,South,Net Banking,Shipped,0.048
f428e20d-baca-4bd3-9d6d-e54fc50b79f5,CUST3566,P005,Coffee Maker,Appliances,3,2267.41,6802.23,2024-09-09 00:00:00,West,Debit Card,Shipped,0.052
86ba9eff-e902-4353-b5c3-89d3f23bc1be,CUST8334,P001,Laptop,Electronics,3,101099.26,303297.78,2024-02-09 00:00:00,East,COD,Cancelled,0.134
279fc05e-235e-4cb5-aa88-c477f13b40f6,CUST1131,P006,Novel,Books,1,296.08,296.08,2024-09-12 00:00:00,East,Credit Card,Processing,0.285
